Event,Platform,White,Black,Result,WhiteElo,BlackElo,UTCDate,UTCTime,ECO,TimeControl,Termination,Link,Moves
Live Chess,Chess.com,dhawalplaysd4,marjannaskovski,0-1,1784,1843,2020.11.24,07:35:59,B07,60,marjannaskovski won on time,Chess.com,e4 d6 d4 e5 dxe5 dxe5 Qxd8+ Kxd8 Nf3 f6 Bc4 Bd6 Nc3 Ne7 Be3 Bg4 O-O-O Bxf3 gxf3 g6 Nb5 Kd7 Nxd6 cxd6 Bc5 Nc8 Bb5+ Kc7 Bb4 a5 Ba3 Nc6 Bxc6 bxc6 Rd3 Rd8 Rhd1 Nb6 b3 c5 c4 a4 Bb2 axb3 axb3 Rab8 Bc3 h5 Kc2 f5 h4 fxe4 fxe4 Rd7 Rf3 Re8 Rf6 Rg8 f4 exf4 Rxf4 g5 hxg5 Rxg5 e5 Nc8 exd6+ Nxd6 Rff1 Rg2+ Kc1 Ne4 Be5+ Kc6 Rxd7 Kxd7 Rd1+ Ke6 Bb2 h4 Re1 Kf5 Bg7 h3 Rf1+ Rf2 Rxf2+ Nxf2 Bc3 h2 Be1 h1=Q Kd2 Qf3 Kc2 Ne4 Kb2 Qe2+ Ka3 Qxe1 Ka4 Qc3 Kb5 Qb4+ Kc6 Nd2 Kd5 Qxb3 Kc6 Qxc4 Kd6 Ne4+ Kd7 Qd4+ Ke7 c4 Kf8 c3
Live Chess,Chess.com,dhawalplaysd4,timmyboi69,0-1,1791,1799,2020.11.24,07:33:38,B27,60,timmyboi69 won by checkmate,Chess.com,e4 c5 d4 cxd4 c3 g6 Bc4 d5 exd5 Bg7 cxd4 Nf6 Nf3 O-O Nc3 Bg4 h4 h5 Bf4 e6 dxe6 Re8 O-O fxe6 Ne5 Bxd1 Rfxd1 Ng4 Nxg6 Kh7 Ne5 Nxe5 Bxe5 Bxe5 dxe5 Qxh4 Be2 Nc6 Nb5 Rf8 Nc7 Qxf2+ Kh1 Qh4+ Kg1 Qf2+ Kh1 Rg8 Rg1 Qh4#
Live Chess,Chess.com,dhawalplaysd4,myychael,0-1,1799,1819,2020.11.24,07:31:30,C00,60,myychael won by checkmate,Chess.com,e4 e6 d4 Be7 c3 b6 Nf3 Bb7 Bd3 d6 Be3 Nd7 Nbd2 h6 Nb3 a6 Qc2 b5 a3 Ndf6 O-O-O Nh5 h3 Nhf6 Be2 Nd7 Bd3 c6 Nfd2 a5 c4 a4 Na1 b4 axb4 a3 bxa3 Rxa3 Qb2 Qa8 Ndb3 Nb6 d5 cxd5 Bxb6 dxe4 Be2 e3 fxe3 Be4 Ba5 Rxa1+ Nxa1 Nf6 c5 d5 Bb5+ Kf8 Nb3 Bxg2 Rhg1 Be4 Nd2 Bg6 Rdf1 d4 exd4 Nd5 Nf3 Ne3 Ne5 Nxf1 Rxf1 Bf6 Nd7+ Kg8 Qf2 Bg5+ Kd1 Bh5+ Ke1 Qe4+ Be2 Qb1+ Bd1 Qxd1#
Live Chess,Chess.com,boredmomof2,dhawalplaysd4,0-1,1723,1807,2020.11.24,06:48:46,B02,60,dhawalplaysd4 won on time,Chess.com,e4 d5 exd5 Nf6 Nc3 Nxd5 d4 Bf5 Nxd5 Qxd5 Nf3 Qe4+ Be2 Qxc2 O-O Qxd1 Bxd1 e6 Ba4+ Nc6 Ne5 Bd6 Nxc6 bxc6 Bxc6+ Ke7 Bxa8 Rxa8 Be3 e5 dxe5 Bxe5 Rad1 Bxb2 Rfe1 Kf8 Bc5+ Kg8 Rd2 Bc3 Red1 Bxd2 Rxd2 h6 g4 Bxg4 h3 Bxh3 Kh2 Be6 a3 Rb8 Bb4 Rb6 Rc2 Rb7 Rc6 Bd5 Rc3 Kh7 Kg3 Kg6 Kf4 f5 Ke5 Bf7 f3 Rb5+ Kd4 h5 f4 h4 Rh3 Kh5 Be7 Kg4 Rxh4+ Kf3 Rh5 Rb3 a4 Re3 a5 Kxf4 Rh8 Re4+ Kd3 Rc4 Rf8 Re4 Rxf7 Re3+ Kd4 Kf3 Kd5 f4 Bd8 Rd3+ Kc4 Rxd8 Rxc7 Re8 Rxg7 Re4+ Kc5 Ke3 Kc6 f3 Kb7 f2 Rf7 Ke2 a6 f1=Q Rxf1 Kxf1 Kxa7 Re7+ Kb8 Re8+ Kb7 Re7+ Kb8 Ke2 a7 Re8+
Live Chess,Chess.com,dhawalplaysd4,ygro,1-0,1801,1789,2020.11.24,04:50:55,B00,60,dhawalplaysd4 won by checkmate,Chess.com,e4 b6 d4 Bb7 Nc3 Nf6 Nf3 Nxe4 Nxe4 Bxe4 Qe2 Bb7 Be3 g6 O-O-O Bg7 g3 O-O Bg2 d6 Rhg1 Nd7 h4 e5 h5 exd4 Nxd4 Bxg2 Rxg2 g5 Qd2 h6 f4 f6 fxg5 fxg5 Re2 Rf6 Qd3 Qe7 Bxg5 hxg5 Rxe7 Raf8 Rxd7 Bh6 Kb1 R6f7 Rxf7 Rxf7 Qg6+ Rg7 Qxh6 Kf7 Rf1+ Kg8 Nf5 Rh7 Qg6+ Kh8 Qe8#
Live Chess,Chess.com,kvikkekanin,dhawalplaysd4,1-0,1817,1793,2020.11.24,04:49:04,A01,60,kvikkekanin won by checkmate,Chess.com,b3 d5 Bb2 e6 g3 Nf6 Bg2 Nc6 Bxf6 Qxf6 Nc3 d4 Ne4 Qg6 d3 f5 Nd2 Be7 Bxc6+ bxc6 Ngf3 Bb7 Ne5 Qf6 Nef3 c5 Rg1 g5 Nc4 g4 Nfe5 Bd6 Nxd6+ cxd6 Nc4 d5 Nd6+ Kd7 Nxb7 Rab8 Nxc5+ Kd6 Na4 f4 Qd2 fxg3 fxg3 Rhf8 Qf4+ Qxf4 gxf4 Rxf4 O-O-O e5 Rdf1 Rxf1+ Rxf1 Re8 Rf6+ Ke7 Rh6 Rh8 Kd2 Kf7 Rh5 Kf6 Rh6+ Kf5 Rh5+ Kf4 Nc5 Rc8 Ne6#
Live Chess,Chess.com,AngrajKarnaYT,dhawalplaysd4,0-1,1244,1515,2020.11.24,04:34:28,C28,300,dhawalplaysd4 won on time,Chess.com,e4 e5 Nc3 Nc6 Bc4 Nf6 d3 d6 f4 Be6 Bb3 exf4 Bxf4 a5 a4 g6 Bxe6 fxe6 Nf3 Bg7 O-O h5 Ng5 Qd7 Be3 O-O-O Rb1 Ng4 Bf4 e5 Bg3 Ne3 Rf7 Qe8 Qd2 Ng4 h3 Bh6 Rff1 Qe7 Nf3 Bxd2 Nxd2 Ne3 Rf3 Nxc2 Rc1 N6d4 Rff1 Rdf8 Bf2 Qg5 Nc4 Nf3+ Kh1 Nh4 Bxh4 Rxf1+ Rxf1 Qxh4 Nxa5 Qg5 Nd5 c6 Nb6+ Kc7 Nbc4 d5 Rf7+ Kd8 Nd6 Qe7 Naxb7+ Kd7 Rxe7+ Kxe7 Kg1 Rb8 a5 Nd4 a6 Nb5 Nxb5 cxb5 Kf2 Kd7 Ke2 d4 Kd2 Kc7 Kc2 Ra8 Nc5 Kc6 b4 g5 Kd2 g4 Ke2 g3 Kf3 Rg8 Ke2 h4 Kf3 Kc7 Ke2 Kb6 Kf3 Kc7 Ke2 Kd6 Kf3 Rg7 Ke2 Ra7 Kf3 Ke7 Ke2 Kf6 Kf3 Kg5 Ke2 Kf4 Kf1 Ke3 Ke1 Rf7 Kd1 Rf1+ Kc2 Rf2+ Kb3 Rxg2 a7 Ra2 a8=Q g2 Qxa2 Kf4
Live Chess,Chess.com,harryelsucio947,dhawalplaysd4,0-1,1836,1801,2020.11.24,04:19:49,B01,60,dhawalplaysd4 won by resignation,Chess.com,e4 d5 exd5 Nf6 Nf3 Nxd5 d4 Nc6 c4 Nf6 d5 Nb8 Nc3 c6 Qb3 e6 dxc6 Nxc6 Bg5 h6 Rd1 Qe7 Bf4 g5 Be5 Nxe5 Nxe5 Nd7 Nf3 Bg7 Be2 O-O O-O b6 Nb5 a6 Nd6 Ra7 Qxb6 Nf6 Nxc8 Rxc8 Nd4 Rd7 Nc6 Qe8 Rxd7 Qxd7 Nb4 Ne4 Bf3 Nd6 c5 Nb5 Qxa6 Nd4 c6 Qc7 Qd3 Nxf3+ Qxf3 f6 Qe3 e5 Re1 f5 Qb3+ Kh8 Rc1 f4 Nd5 Qd6 Nc3 Rxc6 Ne4 Rxc1+
Live Chess,Chess.com,dhawalplaysd4,geavon,0-1,1792,1787,2020.11.24,04:17:32,D00,60,geavon won by checkmate,Chess.com,e4 d5 d4 dxe4 Nc3 Nf6 Bg5 Bg4 Be2 Bf5 Bxf6 gxf6 f3 exf3 Nxf3 c6 O-O Bg7 Nh4 Bg6 Nxg6 hxg6 h3 O-O Qd3 Nd7 Ne4 Qc7 Rf3 e5 Raf1 exd4 Ng3 Ne5 Qxd4 Nxf3+ Bxf3 f5 Qe3 Qxg3 Qb3 Qc7 Rd1 Qb6+ Kh1 Qxb3 axb3 Rad8 Re1 Rfe8 Rf1 Rd2 c3 Rxb2 Kh2 Rd8 Kg3 g5 h4 Be5+ Kh3 g4+ Bxg4 fxg4+ Kxg4 Rdd2 Kf5 Bg7 Kg5 Rxg2+ Kh5 Rg6 Re1 Kh7 Re8 Rbg2 Ra8 Rh6#
Live Chess,Chess.com,dhawalplaysd4,bhave44,1-0,1800,1889,2020.11.24,04:14:51,D00,60,dhawalplaysd4 won on time,Chess.com,e4 d5 d4 dxe4 Nc3 e5 Nxe4 Qxd4 Qxd4 exd4 Nf3 c5 Bf4 Nc6 Bb5 a6 Bxc6+ bxc6 O-O Bf5 Ng3 Bg4 Rfe1+ Kd7 Ne5+ Kc7 Nxg4+ Kb6 a3 Nf6 Nxf6 gxf6 a4 Bg7 a5+ Kb5 b3 Rhe8 Rxe8 Rxe8 h3 f5 Nxf5 Be5 Bxe5 Rxe5 Ng3 f5 f3 f4 Nf1 Re2 Rc1 Kxa5 c4 Kb4 h4 a5 Nh2 Rb2 g3 fxg3 Nf1 g2 Nh2 Rxb3 Kxg2 a4 Kg3 a3 Ng4 a2 Ra1 Ka3 Ne5 Rc3 Nxc6 Rxc4 Ne5 Rc2 Nd3 c4 Nc5 d3 Ne4 d2 Kf4 Rc1 Nxd2 Rxa1 Nxc4+ Kb3 Nd2+ Kc2 Ne4 Re1 Ke5 a1=Q+ Kd5 Qa7 Nc5 Rd1+ Kc6 Qa5 Ne4 Qa7 Nc3
