Event,Platform,White,Black,Result,WhiteElo,BlackElo,UTCDate,UTCTime,ECO,TimeControl,Termination,Link,Moves
Rated bullet game,Lichess.org,MarcoRico_0,dhawalplayse4,1-0,2058,1996,2020.11.26,18:55:22,A06,60+0,Normal,https://lichess.org/esbcnaxG,e4 d5 Nf3 dxe4 Ng5 e5 d3 exd3 Bxd3 Nc6 O-O Nf6 Re1 Bd6 Nc3 h6 Nge4 Nxe4 Nxe4 Be6 Qf3 Nd4 Nxd6+ cxd6 Qg3 Rg8 Be3 Nc6 Rad1 Qf6 Bb5 a6 Ba4 Bd7 Bb3 b5 a4 Ne7 f4 Nf5 Qf3 exf4 Bxf4+ Kf8 Bd2 Nd4 Qxa8+ Bc8 Qxc8+ Qd8 Qxd8#
Rated bullet game,Lichess.org,Msuclaif,dhawalplayse4,1/2-1/2,2031,1995,2020.11.26,18:52:41,B01,60+0,Time forfeit,https://lichess.org/WQK5Upe2,e4 d5 exd5 Nf6 Nf3 Nxd5 Nc3 Nxc3 bxc3 Nc6 a4 Bf5 Ba3 e6 d4 Bxa3 Rxa3 Qd6 Ra1 O-O Bd3 Bxd3 Qxd3 g6 O-O e5 dxe5 Nxe5 Nxe5 Qxe5 Rfe1 Qd6 Qf3 Rae8 Qxb7 Rxe1+ Rxe1 Qd7 Qxa7 Re8 Rxe8+ Qxe8 g3 Qe1+ Kg2 Qxc3 Qb8+ Kg7 Qb3 Qd4 c3 Qe4+ Kg1 Qe1+ Kg2 Qe4+ Kg1 h5 c4 h4 Qc3+ f6 gxh4 Qxh4 a5 Qe4 Qb4 Kh6 Qd2+ g5 Qb4 Kh5 Qb5 Kg4 Qd7+ f5 Qd1+ Kh3 Qf1+ Kg4 Qg2+ Qxg2+ Kxg2 f4 a6 f3+ Kf1 Kf4 a7 g4 a8=Q g3 hxg3+ Kg4 Qe4+ Kg5 Qxf3 Kg6 Qf4 Kg7 Kg2 Kg6 g4 Kg7 f3 Kg6 Kg3 Kg7 g5 Kg6 Qxc7 Kh5 Qe5 Kg6 f4 Kh5 f5 Kxg5 f6+ Kh6 f7 Kh7
Rated bullet game,Lichess.org,dhawalplayse4,YogaGames,1-0,1989,2007,2020.11.26,18:51:37,B21,60+0,Normal,https://lichess.org/OW5OHlxb,e4 c5 d4 cxd4 Qxd4 Nc6 Qd1 e6 Nc3 Bb4 Nf3 Bxc3+ bxc3 Qa5 Bd2 Nf6 c4 Qc7 Bd3 O-O Qe2 b6 Bc3 Ba6 Bxf6 gxf6 Nh4 Rac8 e5 f5 g4 Nxe5 gxf5 Nxd3+ cxd3 Qe5 Qxe5
Rated bullet game,Lichess.org,dhawalplayse4,rodri9920,1-0,1983,2010,2020.11.26,18:50:59,C21,60+0,Normal,https://lichess.org/RU7qoi2F,e4 e5 d4 exd4 c3 dxc3 Bc4 cxb2 Bxb2 Bb4+ Nd2 Ne7 Qb3 O-O Qxb4 d5 Qc3 dxc4 Qxg7#
Rated bullet game,Lichess.org,Titiritero_motril,dhawalplayse4,1-0,1904,1990,2020.11.26,18:48:55,B01,60+0,Normal,https://lichess.org/CJFk3u84,e4 d5 e5 f6 Nf3 fxe5 Nxe5 Nc6 Nxc6 bxc6 d4 Bf5 Bd3 Bxd3 Qxd3 Nf6 Bg5 Qd6 O-O h6 Bh4 e5 dxe5 Qxe5 Nd2 Ne4 Rae1 g5 Nxe4 Qg7 Nd2+ Kd7 Bg3 Bd6 Bxd6 cxd6 c3 Rhe8 h3 Rf8 Nf3 h5 Nd4 g4 h4 g3 f3 c5 Qb5+ Kd8 Nc6+ Kc7 Na5 Rab8 Qc6+ Kd8 Qxd6+ Qd7 Qxf8+ Kc7 Qxc5+ Kd8 Nc6+ Kc7 Ne5+ Qc6 Qxc6+ Kd8 Qd7#
Rated bullet game,Lichess.org,dhawalplayse4,Hans222,1-0,1984,1989,2020.11.26,18:46:37,B00,60+0,Time forfeit,https://lichess.org/xialRIR4,e4 e5 d4 Nc6 d5 Nce7 c4 d6 Nc3 Nf6 Nf3 Ng6 Bd3 Be7 Be3 O-O Qd2 Bg4 h4 Bxf3 gxf3 h6 h5 Nf4 Bxf4 exf4 Qxf4 Nh7 e5 dxe5 Qe4 Ng5 Qxe5 Bf6 Qf5 Re8+ Kd2 Re5 Qf4 Qe7 Ne4 Nxe4+ fxe4 Bg5 Qxg5 Qxg5+ f4 Qxf4+ Kc3 Rae8 Raf1 Qg3 Rhg1 Qxg1 Rxg1 f5 exf5 Re3 Kd4 R8e5 Rc1 Kf7 Rc3 Kf6 Rb3 Re1 Rxb7 Rd1 Rxc7 Rxd3+ Kxd3 Rxf5 Rxa7 Rxh5 Ra6+ Kg5 b4 Rh3+ Kd4 h5 c5 h4 c6 Rh1 c7 Rd1+ Kc5 Rc1+ Kd6 Rxc7 Kxc7 h3 d6 h2 Ra5+ Kh4 d7 h1=Q d8=Q+ Kg3 Qg5+ Kf2 Rf5+ Ke2 Qg4+ Kd2 Qg3 Kc2 Qd3+ Kb2 Rd5
Rated bullet game,Lichess.org,Back_Door_Man,dhawalplayse4,1/2-1/2,1988,1984,2020.11.26,18:44:05,D02,60+0,Time forfeit,https://lichess.org/HrY6Ko13,d4 d5 Nf3 e6 Bf4 Nf6 e3 Nc6 Bd3 Bd6 Ne5 h6 Nd2 g5 Nxc6 bxc6 Bxd6 Qxd6 Nf3 Ne4 Bxe4 dxe4 Ne5 f6 Qh5+ Kd8 Nf7+ Ke7 Nxd6 Kxd6 c4 f5 c5+ Kd5 O-O g4 f3 Rg8 fxe4+ Kxe4 Qxh6 Ba6 Qf4+ Kd5 Qe5+ Kc4 Rfc1+ Kb5 a4+ Ka5 b4+ Kxb4 Rab1+ Kxa4 Qxc7 Bb5 Rxb5 cxb5 Ra1+ Kb4 Qa5+ Kc4 Rc1+ Kd5 Qxb5 a6 Qd7+ Ke4 Qxe6+ Kd3 Qxf5+ Kd2 Qc2+ Kxe3 Re1+ Kf4 d5 Kg5 Qe4 Rgf8 Qe5+ Rf5 Qe7+ Rf6 d6 Rf8 Rf1 Kg6 Rxf6+ Rxf6 Qxf6+ Kxf6 d7 Ke5 d8=Q g3 Qe8+ Kf4 hxg3+ Kxg3 Qe7 Kg4 Qd6 Kh5 Qxa6 Kg4
Rated bullet game,Lichess.org,dhawalplayse4,Danilo49,1-0,1978,1975,2020.11.26,18:41:50,B21,60+0,Time forfeit,https://lichess.org/ZQBjKztN,e4 c5 d4 cxd4 Qxd4 e6 Bc4 a6 Nf3 Nc6 Qd1 Qc7 Nc3 b5 Bb3 Bb7 g3 Nf6 Bf4 Qb6 Be3 Qc7 Bf4 Qb6 Qe2 Bc5 e5 Ng4 Ne4 Nd4 Nxd4 Bxd4 c3 Bxe4 cxd4 Bxh1 Qxg4 Qxd4 Be3 Qxg4 Bd1 Qe4 Be2 Bf3 Bxf3 Qxf3 Rd1
Rated bullet game,Lichess.org,PipaII,dhawalplayse4,1-0,1975,1984,2020.11.26,18:39:27,B01,60+0,Normal,https://lichess.org/9FxNoz5U,e4 d5 exd5 Nf6 c4 Nxd5 Nc3 Nxc3 bxc3 Nc6 d4 e6 Bd3 Be7 f4 Bd7 Nf3 a6 Be3 b5 c5 Na5 O-O Nc4 Bxc4 bxc4 Qe2 Bb5 a4 Bc6 Qxc4 Bd5 Qd3 O-O Ne5 f6 Nf3 f5 Ne5 Bf6 c4 Be4 Qc3 Rb8 Ra2 Bxe5 fxe5 Rf7 Rb2 Rxb2 Qxb2 Qd7 a5 c6 Qb6 Qa7 Rf2 Qxb6 cxb6 Rb7 Rd2 g5 d5 f4 dxc6 Bxc6 Bf2 Kf7 Rd6 Ba4 c5 Kg6 c6 Rb8 c7 Rc8 Rd8 Rxc7 bxc7 Kf5 c8=Q Ke4 Qc4+ Kf5 Qxa4 h5 Qc2+ Kg4 Rf8 h4 h3+ Kh5 Qe2+ g4 Rf6 Kg5 Qxg4#
Rated bullet game,Lichess.org,Dikkop,dhawalplayse4,0-1,1931,1979,2020.11.26,18:37:15,D37,60+0,Time forfeit,https://lichess.org/ckLJyQIg,d4 d5 c4 dxc4 Nf3 e6 Nc3 Nf6 e3 Nc6 Bxc4 Bd7 O-O Bb4 Bb3 Bxc3 bxc3 Ne4 c4 f5 Qc2 h5 d5 exd5 cxd5 Ne7 Rd1 g5 Bb2 Rg8 d6 g4 dxe7 Kxe7 Bxg8 Qxg8 Nd4 h4 Ba3+ Kd8 Rab1 g3 hxg3 hxg3 f3 Nf2 Rxb7 Qh7 Nc6+ Kc8 Kf1 Nxd1 Ne7+ Kxb7 Qb3+ Ka6 Qc4+ Kb7 Bb4 Bb5 Ke2 Bxc4+ Kd2 f4 a3 Qd3+ Ke1 Qd2+
