Event,Platform,White,Black,Result,WhiteElo,BlackElo,UTCDate,UTCTime,ECO,TimeControl,Termination,Link,Moves
Rated bullet game,Lichess.org,dhawalplayse4,SeigeofHerons,0-1,1951,1894,2020.11.26,12:51:20,C44,60+0,Normal,https://lichess.org/V9jMpwR4,e4 e5 d4 exd4 c3 dxc3 Bc4 Nc6 Nf3 Nf6 e5 Ng8 Bf4 d5 Bxd5 cxb2 Qb3 bxa1=Q Bxf7+ Ke7 Bg5+ Nf6 exf6+ gxf6 Bxf6+ Qxf6 O-O Qdd6 Re1+ Be6 Bxe6 Qfxe6 Rxe6+ Qxe6 Qxb7 Bh6 h3 Rab8 Qa6 Rxb1+ Kh2 Qd6+ g3 Rf8 Qe2+ Qe6 Qxe6+ Kxe6 Kg2 Rxf3 g4 Rxf2+ Kxf2 Bg5 Kg3 Ra1 h4 Bxh4+ Kxh4 Rxa2 Kg5 h6+ Kh5 Rg2 Kxh6 Rxg4 Kh5 Rg1 Kh6 Rd1 Kh7 a5 Kg8 a4 Kf8 a3 Ke8 a2 Kf8 a1=Q Kg8 Qa2 Kh7 Qf2 Kg8 Rg1+ Kh8 Qh2#
Rated bullet game,Lichess.org,ChessAD27,dhawalplayse4,1-0,1964,1956,2020.11.26,12:50:10,A07,60+0,Normal,https://lichess.org/SWFH2PDj,Nf3 d5 g3 e6 Bg2 Nf6 O-O Nc6 d4 Bd7 c4 Bd6 cxd5 exd5 Nc3 O-O Qb3 Be6 Qxb7 Qd7 Ne5 Nxe5 dxe5 a6 exf6 gxf6 Nxd5 Rfb8 Nxf6+ Kg7 Nxd7 Rxb7 Bxb7 Rb8 Nxb8 c6 Nxc6 Bd5 Bf4 Bc5 e3 Bxc6 Bxc6 f5 Rab1 Kg6 b4 Be7 b5 Bf6 bxa6
Rated bullet game,Lichess.org,dhawalplayse4,Ruciosucio,1-0,1950,1990,2020.11.26,12:46:42,B00,60+0,Time forfeit,https://lichess.org/jegCroP7,e4 d6 d4 Nd7 c3 Ngf6 Nd2 e5 Ngf3 exd4 Nxd4 c5 N4f3 Ne5 Bd3 Nxf3+ Qxf3 Bg4 Qe3 Be7 h3 Bh5 Nf3 Bg6 e5 dxe5 Bxg6 hxg6 Qe2 e4 Nd2 Rh5 Nxe4 Re5 f3 Nxe4 fxe4 f5 Qb5+ Kf7 Qc4+ Kf6 Kf2 Rxe4 Qb5 a6 Qf1 c4 h4 Bc5+ Kg3 Qd6+ Bf4 Qd3+ Kh2 Rxf4 Qxf4 Bd6 Qxd6+ Qxd6+ g3 Re8 Kh3 Re2 Rag1 Qd7 Rh2 f4+ g4 f3 Kg3 Qd3 Kf4 f2 g5+ Kf7 Rf1 Qe3+ Kg4
Rated bullet game,Lichess.org,dhawalplayse4,Terrificying,0-1,1955,1979,2020.11.26,12:26:38,C01,60+0,Time forfeit,https://lichess.org/UPTy72s0,e4 e6 d4 d5 exd5 exd5 Nc3 Ne7 Nf3 Ng6 Bd3 c6 Qe2+ Be7 O-O O-O h4 Nxh4 Nh2 Bd6 Qh5 Ng6 Ng4 Qh4 Bxg6 Qxh5 Bxh5 g6 Nf6+ Kg7 Bg4 Kxf6 Bxc8 Rxc8 g4 Kg7 g5 Re8 Be3 Nd7 Rfe1 Nb6 Rac1 Nc4 Nd1 Re4 b3 Na3 Kf1 Rg4 f3 Rg3 Kf2 Re8 Nc3 Bb4 Ne2 Bxe1+ Rxe1 Rh3 Nf4 Rh2+ Kg3 Rxc2 Re2 Rxe2 Nxe2 Nc2 Nf4 Rxe3 Kg4 Re1 Ng2 Rg1 Kh3 Rxg2 Kxg2 Ne3+ Kf2 Nf5 f4 h6 Kf3 hxg5
Rated bullet game,Lichess.org,Lemington04,dhawalplayse4,1-0,1937,1961,2020.11.26,12:24:23,A01,60+0,Normal,https://lichess.org/Pad5bG6G,b3 d6 Bb2 e5 Nf3 Nf6 d4 e4 Nfd2 d5 e3 Nc6 c4 Be6 Be2 dxc4 Nxc4 Bxc4 Bxc4 a6 O-O b5 Be2 Bd6 Nd2 Qe7 Qc2 O-O Qxc6 Qe6 Rac1 a5 Bxb5 Rab8 Ba4 Rb4 Ba3 Rc4 Nxc4 Nd5 Nxd6 cxd6 Qxd6 Qxd6 Bxd6 Rd8 Bg3 h6 Rc5 Nf6 Rxa5 Ng4 h3 Nf6 Re5 Kh7 Bc6 Nd7 Rxe4 Nf6 Re7 Kg6 Be5 h5 Bxf6 gxf6 Be4+ Kg5 Rxf7 Kh6 Rxf6+ Kg5 Rg6+ Kh4 Rc1 Rf8 Rc5 Rb8 Rgc6 Rg8 Bf3 Rg5 Rc4 Rg4 Kh2 Rg5 g3+ Rxg3 fxg3+ Kg5 R4c5#
Rated bullet game,Lichess.org,dhawalplayse4,minevaganti1,1-0,1956,1956,2020.11.26,12:22:04,B01,60+0,Time forfeit,https://lichess.org/3Nv73ENt,e4 d5 exd5 Qxd5 Nc3 Qd6 Nf3 Nf6 d3 g6 Bd2 c6 Be2 Bg7 Ne4 O-O Nxd6 exd6 Bc3 Re8 Bxf6 Bxf6 Qd2 Bg4 Rb1 Nd7 h3 Bxf3 gxf3 Ne5 f4 Nf3+ Kd1 Nxd2 Kxd2 d5 Bg4 h5 Bd7 Re7 Bxc6 bxc6 Rbe1 Rae8 Rxe7 Rxe7 c3 Kg7 f5 g5 Rg1 Kh6 f4 c5 h4 gxh4 c4 dxc4 dxc4 Rd7+ Kc2 Rd4 Rf1 Rxc4+ Kb3 Rd4 Rc1 Be7 Kc3 Rxf4 Re1 Rxf5 Rxe7 Rf3+ Kc4 Kg6 Rxa7 f5 Ra6+ Kg5 Kxc5 h3 Rd6 h2 Rd1 Rg3 Rh1 Kg4 a4 Rg2 a5 Kg3 b4 Rg1 Rxh2 Kxh2 a6 Rc1+ Kb6 Ra1 a7 Rb1 a8=Q Rxb4+ Kc7 Rg4 Qa2+ Kh3 Qd5 h4 Qd3+ Rg3 Qf1+ Kg4 Qxf5+
Rated bullet game,Lichess.org,Mithaus,dhawalplayse4,0-1,1834,1952,2020.11.26,12:21:23,B01,60+0,Normal,https://lichess.org/5KAid8aG,e4 d5 exd5 Nf6 Nc3 Nxd5 Nf3 Nxc3 bxc3 Nc6 Bc4 e6 O-O Bd6 Re1 g5 d3 g4 Ne5 Nxe5 Bb5+ c6 Ba4 Qh4 g3 Qh3 Bb2 Nf3+ Kh1 Qxh2#
Rated bullet game,Lichess.org,dhawalplayse4,gaurangsondur,1-0,1945,2022,2020.11.26,12:18:09,B02,60+0,Time forfeit,https://lichess.org/pkPLpKBd,e4 Nf6 e5 Nd5 c4 Nb6 c5 Nd5 d4 e6 Bc4 d6 Bxd5 exd5 exd6 cxd6 Nc3 dxc5 dxc5 Bxc5 Nxd5 Nc6 Qe2+ Be6 Nf4 Qe7 Nxe6 Qxe6 Qxe6+ fxe6 Nf3 O-O Be3 Bxe3 fxe3 Rac8 O-O Rcd8 Rad1 Nb4 Nd4 e5 Ne6 Rxf1+ Rxf1 Re8 Nc7 Rc8 Ne6 Nd5 e4 Ne3 Rf2 Ng4 Rf1 Nf6 h3 Nxe4 Re1 Nf6 Rxe5 Kf7 Nf4 Rc1+ Kh2 Rc2 Nd5 Nxd5 Rxd5 Rxb2 Rd7+ Kg6 Rd6+ Kf7 Rd7+ Kg6 Rd4 Kf7 Ra4 Rb1 Rxa7 Rb2 a4 Kg8 a5 Kf7 a6 Kg6 axb7 h6 Ra8 Rxb7 Ra6+ Kh7 Rxh6+
Rated bullet game,Lichess.org,crimauro,dhawalplayse4,0-1,1937,1939,2020.11.26,12:14:40,A06,60+0,Time forfeit,https://lichess.org/S3u7iN9f,e4 d5 Nf3 dxe4 Ng5 e5 Nxe4 Nc6 Bc4 Nf6 Nbc3 Bb4 O-O Bxc3 Nxc3 Be6 d3 Bxc4 dxc4 Qxd1 Rxd1 O-O Bg5 Rfd8 Bxf6 gxf6 Nd5 Kg7 Nxc7 Rxd1+ Rxd1 Rc8 Nd5 Nd4 Rd3 Nxc2 Rg3+ Kh6 b3 Nd4 Nxf6 Nf5 Rg4 Rd8 h4 Rd1+ Kh2 Ra1 Re4 Rxa2 g4 Nxh4 Kg3 Ng6 f4 exf4+ Kf3 Ra3
Rated bullet game,Lichess.org,dhawalplayse4,Gokul55,1-0,1934,1895,2020.11.26,12:11:48,B00,60+0,Time forfeit,https://lichess.org/6RS8Fc3V,e4 e5 d4 Nc6 d5 Nce7 Nf3 d6 Nc3 c6 dxc6 bxc6 Bd3 Nf6 Be3 Ng6 Qe2 Be7 O-O O-O Rad1 Be6 h3 d5 exd5 cxd5 Bxg6 hxg6 Nxe5 Bd6 Nd3 Bc7 Bd2 Bb6 a3 Re8 Qf3 Rc8 Rfe1 Qc7 Bf4 Qc6 Ne5 Qb7 Bg5 Ne4 Nxe4 dxe4 Qxe4 Qxe4 Rxe4 Rxc2 Rde1 Bxf2+ Kf1 Bxe1 Kxe1 Rxg2 h4 Rxb2 Nc6 Rc8 Ne7+ Kh7 Nxc8 Rb1+ Kd2 Rb2+ Kc3 Rb8 Nd6 Rd8 Nc4 Rc8 Kd4 Rxc4+ Ke5 Rxe4+ Kxe4 f6 Be3 g5 Bxa7
Rated bullet game,Lichess.org,danilorbls,dhawalplayse4,0-1,1830,1930,2020.11.26,11:57:28,B01,60+0,Time forfeit,https://lichess.org/f5gmBcdJ,e4 d5 exd5 Nf6 Nf3 Nxd5 d4 Nc6 Bc4 Bf5 c3 e6 O-O a6 h3 b5 Bd3 Bxd3 Qxd3 Bd6 Be3 Qf6 Nbd2 h5 Nh2 e5 Ne4 Qe6 Nxd6+ Qxd6 f4 f6 fxe5 fxe5 Bg5 Rf8 Rxf8+ Qxf8 dxe5 Qf7 Rf1 Qe6 Nf3 Kd7 Nd4 Qxe5 Nxc6 Kxc6 Bh4 g5 Bf2 h4 Bd4 Qd6 c4 bxc4 Qxc4+ Kd7 Rf7+ Ke6 Rf6+ Ke7 Rxd6 cxd6 Qxd5 Rf8 Qxg5+ Kd7 Qg7+ Ke8 Qg6+ Rf7 Bb6 Ke7 Qe4+ Kf8 Qg4 Ke7 Qxh4+ Kd7 Bd4 Kc6 Qe4+ Kc7 Qd5 Rd7 Qc4+ Kd8
Rated bullet game,Lichess.org,dhawalplayse4,BangkokDragon,0-1,1934,1996,2020.11.26,11:55:42,B01,60+0,Normal,https://lichess.org/hiizoiqr,e4 d5 exd5 Qxd5 Nc3 Qd6 Nf3 Nf6 d3 c6 g3 Bg4 Bf4 Bxf3 Qxf3 Qb4 Rb1 e6 Qe3 Nd5 Qf3 Nxc3 Kd2 Nxb1+ Ke3 Qe1+ Be2 Qd2+ Ke4 Qxc2 Qe3 Nd7 Qd4 Nf6+ Kf3 Nd2+ Bxd2 Qxd2 Rd1 Qg5 Kg2 Qd5+ Qxd5 exd5 Bf3 Bd6 Re1+ Kd7 g4 Rhe8 g5 Rxe1 gxf6 gxf6 Kh3 Rg8 Bg2 Rg1 Bf3 Rf1 Bg2 Rxf2 Kh4 Rfxg2 Kh3 Rxh2#
Rated bullet game,Lichess.org,percivalflavours,dhawalplayse4,0-1,1934,1929,2020.11.26,11:53:18,B01,60+0,Time forfeit,https://lichess.org/Ifv1ZCnO,e4 d5 exd5 Nf6 d4 Nxd5 c4 Nf6 Nc3 Bf5 Nf3 e6 Be2 Nc6 O-O Bb4 Bg5 Bxc3 bxc3 h6 Bh4 g5 Bg3 Ne4 Qb3 Rb8 Rfe1 g4 d5 gxf3 Bxf3 Nxg3 hxg3 Ne7 dxe6 fxe6 Bh5+ Kf8 c5 Qd7 Rad1 Qc6 Bf3 Qe8 g4 Bg6 Qxe6 Qf7 Qd7 Re8 Qxc7 Rh7 Rd7 Qxf3
Rated bullet game,Lichess.org,DRHANT,dhawalplayse4,1/2-1/2,1937,1928,2020.11.26,11:50:51,D00,60+0,Normal,https://lichess.org/ckFidp5r,d4 d5 Bg5 f6 Bh4 g5 Bg3 Nc6 e3 Bf5 Bd3 Bg6 Bxg6+ hxg6 Nc3 Nh6 e4 dxe4 Nxe4 Nf5 Nf3 Ncxd4 Nxd4 Nxd4 c3 Nf5 Qa4+ c6 Rd1 Qb6 O-O Qxb2 Rb1 Qe2 Rfe1 Qh5 Nxf6+ Kf7 Nxh5 Rxh5 Qc4+ Kg7 Rxb7 Rd8 Qxc6 Nd6 Bxd6 Kh6 Bxe7 Bxe7 Rbxe7 Rh4 Qc7 Rh8 Re8 Rh7 R1e7 Rxe7 Rxe7 g4 Rh7+ Kg5 Qe7+ Kf4 Qxh4 g5 Qh6 a5 Rg7 a4 Qxg5+ Ke4 Qxg4+ Kd3 Qxa4 Kxc3 Qb5 Kd2 a4 Kd1 a5 Ke1 a6 Kd1 a7 Ke1 a8=Q Kd1 Rd7+ Ke1 Qbc6 Ke2 Qa1
Rated bullet game,Lichess.org,dhawalplayse4,CalebSenior,0-1,1934,1923,2020.11.26,11:49:46,C20,60+0,Normal,https://lichess.org/OeglmG1y,e4 e5 d4 Nf6 dxe5 Nxe4 Qe2 Nc5 Nf3 Nc6 Be3 d6 exd6 Bxd6 Bxc5+ Be6 Bxd6 Qxd6 Nc3 O-O-O Rd1 Qb4 Rxd8+ Rxd8 a3 Qxb2 Nd1 Qc1 Nd2 Nd4 Qd3 Nxc2+ Qxc2 Qxc2 Be2 Qxd2+ Kf1 Bc4 Bxc4 Qxd1#
Rated bullet game,Lichess.org,dhawalplayse4,Edosyan-ekb66,1-0,1928,1953,2020.11.26,11:47:36,B21,60+0,Time forfeit,https://lichess.org/toSME6yU,e4 c5 d4 d6 dxc5 Qa5+ Nc3 Qxc5 Be3 Qc7 Nb5 Qa5+ Nc3 a6 Bd2 Nc6 Nd5 Qd8 Nf3 e6 Ne3 Nf6 Bd3 Be7 Qe2 Bd7 O-O Qc7 h3 b5 c4 O-O cxb5 axb5 Bxb5 Rab8 Bxc6 Bxc6 b3 Bb5 Nc4 d5 exd5 exd5 a4 Ba6 Rac1 dxc4 bxc4 Bc5 g3 Rfe8 Bf4 Bd6 Bxd6 Qxd6 Qd2 Qxd2 Nxd2 Ne4 Nxe4 Rxe4 c5 Rc4 Rxc4 Bxc4 Rc1 Be6 c6 Bc8 c7 Ra8 Kg2 Rxa4 Kf3 Ra8 Ke3 Kf8 Kd4 Ke7 Kd5 Be6+ Kc5 Rc8 Kc6 Bd7+ Kb7 Be6 Ra1 f6 Ra8 Rxa8 Kxa8 Bd7 Kb7
Rated bullet game,Lichess.org,Erikmjaa,dhawalplayse4,0-1,1958,1922,2020.11.26,11:46:44,B01,60+0,Normal,https://lichess.org/UwU1SGAp,e4 d5 exd5 Nf6 Bb5+ Bd7 Bxd7+ Nbxd7 c4 Nb6 d3 e6 dxe6 fxe6 Nf3 Bc5 O-O Qd6 Bg5 h6 Bxf6 gxf6 d4 Bb4 c5 Bxc5 dxc5 Qxc5 Nc3 Rg8 Na4 Qc6 Nxb6 axb6 Nd4 Qxg2#
Rated bullet game,Lichess.org,dhawalplayse4,Reykp22,0-1,1929,1803,2020.11.26,11:45:05,D00,60+0,Normal,https://lichess.org/QJavZbOY,e4 d5 d4 dxe4 Nc3 Nf6 Bg5 Bf5 Bxf6 exf6 f3 exf3 Qxf3 c6 Rd1 Be6 b3 Bb4 Bc4 Bxc3+ Qxc3 O-O Ne2 Bd5 O-O Qd6 Bxd5 Qxd5 Rd3 Nd7 Rdf3 Rad8 Rg3 Nb6 Rxf6 Rfe8 Nf4 Qxd4+ Qxd4 Rxd4 c3 Rd2 Nd3 Ree2 Rd6 Rd1+ Ne1 Rdxe1#
Rated bullet game,Lichess.org,Doktor08,dhawalplayse4,0-1,1895,1924,2020.11.26,11:38:04,D07,60+0,Normal,https://lichess.org/bR72sG8F,d4 d5 c4 dxc4 Nc3 Nc6 e4 e5 d5 Nd4 Bxc4 Nf6 Nf3 Bb4 Nxd4 Bxc3+ bxc3 exd4 Qxd4 O-O O-O c6 Bg5 cxd5 Bxd5 Be6 e5 Qxd5 exf6 Qxd4 cxd4 gxf6 Bxf6 Rfe8 Rfe1 Bd5 Re3 Rxe3 fxe3 Be4 Rf1 h6 Rf4 Bg6 h4 Kh7 e4 h5
Rated bullet game,Lichess.org,holyxz,dhawalplayse4,0-1,1853,1920,2020.11.26,11:37:43,B01,60+0,Normal,https://lichess.org/vmWZawjo,e4 d5 exd5 Nf6 d4 Nxd5 Nf3 Nf6 Bd3 e6 O-O Nc6 c3 Bd7 Bf4 Bd6 Nbd2 Bxf4
Rated bullet game,Lichess.org,dhawalplayse4,DanikKRASnikov,1-0,1914,1917,2020.11.26,11:35:27,C00,60+0,Time forfeit,https://lichess.org/pH4tPCtT,e4 e6 d4 c5 dxc5 Bxc5 c4 Qa5+ Nc3 Nc6 Bd2 Nb4 a3 Nc6 Nd5 Qd8 Nc3 Qf6 Nf3 Nge7 b4 Bd6 Nb5 Bf4 Bxf4 Qxf4 g3 Qb8 Bg2 a6 Nbd4 O-O O-O Nxd4 Nxd4 Nc6 Nxc6 dxc6 Qc2 Qa7 Kh1 e5 c5 Bg4 Qc3 Rfe8 h3 Bh5 g4 Bg6 f4 exf4 Rxf4 b5 Raf1 Qe7 Qe3 Rad8 Re1 f6 h4 Bf7 h5 h6 Bf3 Bc4 Kh2 Rf8 Kh3 Qf7 e5 Qd7 e6 Qe7 Re4 Ba2 Re2 Bd5 Rf4 Bxf3 Rxf3 Rd5 Qe4 g6 Qxg6+ Qg7 Qxg7+ Kxg7 Rfe3 Re8 e7 Re5 Re4 Rg5 Re6 f5 Rf6
Rated bullet game,Lichess.org,dhawalplayse4,myselfmentor,1-0,1909,1835,2020.11.26,11:34:47,B13,60+0,Normal,https://lichess.org/3i7RjyBG,e4 c6 d4 d5 exd5 cxd5 Nc3 Bf5 Nf3 Nc6 Bd3 Bxd3 Qxd3 e6 Bf4 Nf6 Nb5 a6 Nc7+ Ke7 Nxa8 Qxa8 Ne5 Qd8 Nxc6+ bxc6 c4 dxc4 Qxc4 Qb6 Qc5+ Kd7 Qxb6
Rated bullet game,Lichess.org,dhawalplayse4,fg8pro,1-0,1902,1934,2020.11.26,11:31:02,B13,60+0,Time forfeit,https://lichess.org/7QWqRkuY,e4 c6 d4 d5 exd5 cxd5 Nc3 Nf6 Nf3 Bf5 Bd3 Bxd3 Qxd3 Nbd7 Be3 e6 O-O Bd6 Rae1 Kf8 h3 g6 Bh6+ Kg8 Ng5 Bf8 Bxf8 Qxf8 h4 Qg7 Nb5 h6 Nf3 Kh7 Ne5 Nxe5 dxe5 Ne4 f3 Ng3 Rf2 Nf5 Nd6 Nxd6 exd6 Rhd8 Qa3 Rd7 c3 a6 Qc5 Rad8 Rfe2 Qf6 Qb6 Qxh4 Kf1 Qh1+ Kf2 Qh4+ Kg1 Qa4 a3 Qb5 Qxb5 axb5 b4 Rxd6 Re5 Rc8 Rc1 Rc4 Re3 Rd7 Kf2 Rdc7 Kg3 Kg7 f4 Kf6 Kf3 h5 g4 hxg4+ Kxg4 Kg7 Kg5 f6+ Kg4 f5+ Kg5 Kf7 Rg1 Rxc3 Rxc3 Rxc3 Rh1 Rc8 Rh7+ Kg8 Rxb7 Rf8 Rxb5 Rf7 Rb6 Kg7 Rxe6 Rd7 b5 d4 Rxg6+ Kf7 Rf6+ Ke7 Rf7+ Kd8 Rf8+ Kc7 Rh8 Kb6 Rh1 Kxb5 Rb1+ Ka4 Ra1 d3 Rb1 d2 Rb4+ Kxa3 Ra4+
Hourly UltraBullet Arena,Lichess.org,AmelyPlaying,dhawalplayse4,1-0,2162,1531,2020.11.25,05:42:56,A40,15+0,Time forfeit,https://lichess.org/8NVw2YcK,d4 e5 Nc3 exd4 Qxd4 d5 Qe3+ Qe7 Nf3 Qxe3 Bxe3 d4 Nd5 c6 Nc7+ Kd7 Nxa8 dxe3 O-O-O+ Ke6 fxe3 Kf6 Nd4 Be6 e4 Bd5 g4 Bxe4 g5+ Kxg5 Rg1+ Kf6 Bg2 Bg6 Rdf1+ Ke7 Nf3 Kd6 Nc7 Kc5 Ne8 Kb6 Ng5 Be7 Nxf7 Nh6 Ne5 Nf5 Nd7+
Hourly UltraBullet Arena,Lichess.org,WWJCD,dhawalplayse4,1-0,2122,1531,2020.11.25,05:42:22,A00,15+0,Normal,https://lichess.org/HJ3iMpm1,Nc3 d6 d4 e5 Nf3 e4 Bg5 exf3 Bxd8 f6 exf3 Kxd8 Bc4 Ne7 Qe2 Ng6 O-O-O Ne5 dxe5 fxe5 Qxe5 Be6 Qxe6 Be7 Rhe1 Re8 Bb5 Bg5+ f4 Rxe6 Rxe6 Bxf4+ Kb1 Be5 Re8#
Hourly UltraBullet Arena,Lichess.org,dhawalplayse4,AmelyPlaying,0-1,1532,2161,2020.11.25,05:41:51,B00,15+0,Normal,https://lichess.org/OR7OarQF,e4 Nc6 d3 e5 Nc3 Bb4 Bd2 Bxc3 Qc1 d5 Bxc3 d4 b3 dxc3 Qa3 Nf6 Nf3 Nd4 Ng5 Nxc2+ Kd1 Nxa3 b4 c2+ Kd2 Qd4 f3 Qxb4+ Ke3 Qb1 Kf2 Qxa1 Kg3 c1=Q Ne6 Qe1+ Kh3 fxe6 g3 Qac1 Bg2 Qh6#
Hourly UltraBullet Arena,Lichess.org,dhawalplayse4,WWJCD,0-1,1532,2121,2020.11.25,05:41:16,C00,15+0,Normal,https://lichess.org/B4ARyjsn,e4 e6 d3 Nf6 Nc3 d5 Nb5 dxe4 Nxc7+ Qxc7 dxe4 Bc5 Be3 Bxe3 fxe3 Nxe4 Qd2 Nxd2 Kxd2 Nc6 Bd3 Bd7 c4 O-O-O c5 Ne5 Rc1 Nxd3 Kxd3 Bb5+ Ke4 Qe5+ Kf3 f5 Ne2 Rd3 Kf2 Qxe3+ Kf1 Rd2 Ke1 Qxe2#
Hourly UltraBullet Arena,Lichess.org,Cr107,dhawalplayse4,1-0,1866,1534,2020.11.25,05:40:33,A01,15+0,Time forfeit,https://lichess.org/bKwh7Yxp,b3 d5 Bb2 e6 Nc3 Nf6 e4 Be7 exd5 O-O d4 exd5 Nf3 Qe8 Be2 Bd6 O-O c6 Re1 Qd7 Bd3 Ng4 Bxh7+ Kh8 h3 g6 hxg4 Kxh7 Ng5+ Kg7 Qf3 Qxg4 Qxg4 Bxg4 f3 f6 fxg4 fxg5 Re6 Rf7 Rxd6 Nd7 Re6 Raf8 Ree1 Rf1+ Rxf1 Rxf1+ Kxf1 Nf6 Kg1 Nxg4 Rf1 Ne3 Rf2 Nxc2 Rxc2 a6 Rf2 a5 Rf1 a4 Rf2 a3 Bxa3 b5 Bc5 b4 Bd6
Hourly UltraBullet Arena,Lichess.org,dhawalplayse4,maxbajmetkov,1-0,1529,1455,2020.11.25,05:39:30,B10,15+0,Time forfeit,https://lichess.org/m6NUoFN4,e4 c6 d3 d5 Nc3 dxe4 Nf3 g6 Nd2 Bg7 f3 exd3 Bxd3 Nf6 Qe2 h5 O-O Qc7 g3 h4 Nde4 hxg3 Nxf6+ Bxf6 hxg3 Qxg3+ Qg2 Qxg2+ Kxg2 Be5 Be3 Rh2+ Kg1 Bh3 Rf2 Rxf2 Kxf2 Bg3+ Ke2 Be5 Bf2 Bd6 Ne4 Nd7 Nxd6+ exd6 Bc4 Kd8 Re1 Kc8 Kd2 Kc7 Bd4 Rd8 Be3 c5 b4 d5 bxc5 dxc4 c3 Ne5+ Bd4 Nxf3+ Kc2 Nxe1+ Kb2 Bf5 Be5+
Hourly UltraBullet Arena,Lichess.org,dhawalplayse4,WWJCD,0-1,1529,2119,2020.11.25,05:38:51,C00,15+0,Normal,https://lichess.org/b1mhXV4r,e4 e6 d3 Nf6 Bd2 d5 Qe2 dxe4 dxe4 Bc5 Nc3 Nc6 Nd5 Nd4 Nxf6+ Qxf6 Qf3 Nxc2+ Kd1 Qxb2 Bg5 Qxa1+ Ke2 Nd4+ Ke3 Nxf3+ Kxf3 Qd4 g3 Qxf2+ Kg4 e5+ Kh5 g6+ Kh4 h6 Nf3 hxg5+ Kxg5 Qxf3 g4 Be7#
Hourly UltraBullet Arena,Lichess.org,DanIlaM,dhawalplayse4,0-1,1704,1520,2020.11.25,05:37:57,A06,15+0,Time forfeit,https://lichess.org/zoHQhKD8,Nf3 d5 e4 e6 e5 f6 d4 fxe5 dxe5 Nc6 Be2 Bd7 c4 Nge7 cxd5 Ng6 dxe6 Bxe6 Qxd8+ Rxd8 O-O Ke7 Bf4 Ngxe5 Bg3 Nxf3+ Bxf3 Nd4 Be2 Nf3+ Bxf3 g5 Nc3 g4 Be4 h5 Rad1 h4 Rxd8 h3 Rd7+ Kxd7 gxh3 Kd8 f4 Kc8 Kf2 Rg8 Rg1 gxh3 Rd1 Bg4 Bf5+ Kb8 Nd5 Bc5+ Ne3 a6 Re1 Ka7 Re2 b6 Re1 Bxf5 Re2 Rf8 Re1 Bg4 Re2 Bf3 Re1 Be2 Kxe2 Bxe3 Kxe3 Re8+ Kf2 c5 Kf1 Rd8
Hourly UltraBullet Arena,Lichess.org,dhawalplayse4,Nefetehli,0-1,1523,1686,2020.11.25,05:37:47,C20,15+0,Normal,https://lichess.org/JtxlrBa4,e4 e5 d3 Bc5 Nc3 Qh4 Nf3 Qxf2#
Hourly UltraBullet Arena,Lichess.org,TQ0823,dhawalplayse4,0-1,1446,1518,2020.11.25,05:37:14,?,15+0,Abandoned,https://lichess.org/DNH5LfZI,
Hourly UltraBullet Arena,Lichess.org,Run_King_Run,dhawalplayse4,1-0,1771,1521,2020.11.25,05:36:21,C02,15+0,Time forfeit,https://lichess.org/akQQBR4E,d4 d5 e4 e6 e5 Nf6 Bg5 Be7 exf6 Bxf6 Bxf6 Qxf6 f4 Bd7 Nf3 Nc6 Bd3 Nxd4 a3 Nxf3+ Qxf3 e5 O-O exf4 Nd2 g5 Rae1+ Kd8 Qxd5 c6 Qb3 Re8 Ne4 Qe7 Qxb7 Qe6 Nc5 Ke7 Rxe6+ fxe6 Re1 Kf8 Qxd7 Re7 Nxe6+ Kf7 Nd8+ Kf8 Qxe7+ Kg8 Qf7+ Kh8 Ne6
Hourly UltraBullet Arena,Lichess.org,dhawalplayse4,WWJCD,0-1,1521,2115,2020.11.25,05:35:35,B00,15+0,Time forfeit,https://lichess.org/Ro5s7o9R,e4 d6 d3 Nf6 Nc3 Bg4 Nf3 Bxf3 gxf3 e5 Be2 Nc6 Bd2 Nd4 Qc1 Be7 Nd1 c5 c3 Nxe2 Kxe2 d5 Rg1 dxe4 fxe4 Nd5 b3 Nf4+ Bxf4 exf4 Qxf4 Bf6 Rg3 Qd7 e5 Rd8 exf6 gxf6 Kf1 Rg8 Rxg8+ Ke7 Nb2 Qxd3+
Hourly UltraBullet Arena,Lichess.org,DanIlaM,dhawalplayse4,1-0,1718,1525,2020.11.25,05:35:08,A06,15+0,Normal,https://lichess.org/OSZTkmff,Nf3 d5 e3 e6 Be2 Nf6 O-O Nc6 d4 Bd7 c4 Be7 cxd5 O-O Nc3 exd5 a3 Ne4 Bd3 Nxc3 bxc3 a6 Bb2 b6 Bb1 Be6 Qc2 f6 Qxh7+ Kf7 Bg6#
Hourly UltraBullet Arena,Lichess.org,sanatansatapathy,dhawalplayse4,0-1,1242,1522,2020.11.25,05:34:37,B01,15+0,Normal,https://lichess.org/BTFR6xZ4,e4 d5 Qf3 Nf6 exd5 Nxd5 Bc4 Nf6 Nc3 e6 d3 Nc6 Bg5 Nd4 Bxf6 Nxf3+ Nxf3 Qxf6 O-O Bd7 h3 Bd6 Kh1 g5 Nxg5 Qxg5 h4 Qe5 Kg1 Qh2#
